sort-ID,pez_ID,ID ,shelter-partner ,county,sex-status,sex,altered,female,male,age ,age-formulas,age-months,age-stages-formula,agestages,juvenile,adult,breed ,purebred,large-mix,med-mix,sm-mix,size-formula,size,wt,wt-kg,intake-date,sp-intake-date,long-fur,short-fur,furlength,ticks ,EDTA,4DX-run,lymeseropos,anaseropos,ehrseropos,rickifa,4DX-hw,sum-tbd,tbdpos,multtbd,lyme-CS,lyme-lame,lyme-abnormal-pcv ,lyme-abnormal-urine ,anaplasma-CS,anaplasma-abnormal-pcv ,anaplasma-abnormal-urine ,,ehrlichia-CS,ehlrichia-abnormal-pcv ,ehlrichia-abnormal-plt-count,E.canis_Doyle,E.ewingii_Doyle,E.chaff_Doyle,A.platys_daSilva,A.phag_Draz,B.burg_Barb,Rick_Stenos,R.rick_Kato,Sum_TBD-sero,One-TBD-sero,Multi-TBD-sero,PCR-TBD,SERO+PCR,TBD+HW,ACUTE-only
40,H40,A45029650,Ross,Ross,Female,Female,0,1,0,3 yr,3,36,Adult,Adult,0,1,mixed breed medium,0,0,1,0,Medium,Medium,28.5,12.95,7/8/2020,6/19/2020,0,1,short,N,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
51,H51,A45020384,Scioto,Scioto,Male,Male,0,0,1,3 yr,3,36,Adult,Adult,0,1,retriver mix,0,1,0,0,Large,Large,50,36,7/7/2020,6/27/2020,0,1,short,N,Y,Y,1,0,1,0,1,2,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,H69,A45187429,Scioto,Scioto,Male,Male,0,0,1,3 yr,3,36,Adult,Adult,0,1,terrier mix,0,0,1,0,Medium,Medium,26,11.82,7/30/2020,7/22/2020,0,1,short,N,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0
78,H78,A45212872,Ross,Ross,Female,Female,0,1,0,3 yr,3,36,Adult,Adult,0,1,Retriever mix,0,1,0,0,Large,Large,55,25,8/3/2020,7/4/2020,0,1,short,Y,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NA,0,0,NA,0,NA,0,0,0,0,NA,0,0,NA,0
93,H93,A45313128,Scioto,Scioto,Female,Female,0,1,0,3 yr,3,36,Adult,Adult,0,1,mixed breed large,0,1,0,0,Large,Large,66,30,8/17/2020,8/11/2020,0,1,short,N,Y,Y,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
100,H100,A45238785,Gallia,Gallia,Female,Female,0,1,0,3 yr,3,36,Adult,Adult,0,1,australian cattle dog mix,0,0,1,0,Medium,Medium,36,16.36,8/6/2020,8/6/2020,0,1,short,,Y,Y,1,0,1,0,1,2,1,1,0,0,0,0,0,0,0,,0,0,0,NA,0,0,0,0,NA,0,0,3,1,1,0,0,0,0
156,H156,A45946371,Jackson,Jackson,Male,Male,0,0,1,3 yr,3,36,Adult,Adult,0,1,Retriever mix,0,0,1,0,Medium,Medium,39,17.73,10/22/2020,10/19/2020,0,1,short,N ,Y,Y,0,0,0,0,0,0,0,0,,,,,,,,,,,,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0
157,H157,A45946378,Jackson,Jackson,Female,Female,0,1,0,3 yr,3,36,Adult,Adult,0,1,Retriever mix,0,0,1,0,Medium,Medium,35.5,16.14,10/22/2020,10/19/2020,0,1,short,N,Y,Y,0,0,0,0,0,0,0,0,,,,,,,,,,,,NA,0,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0
171,H171,A46032873,Jackson,Jackson,Male,Male,0,0,1,3 yr,3,36,Adult,Adult,0,1,mixed breed medium,0,0,1,0,Medium,Medium,43,19.55,11/4/2020,10/30/2020,1,0,Long,Y,Y,Y,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0
172,H172,A46032562,Jackson,Jackson,Female,Female,0,1,0,3 yr,3,36,Adult,Adult,0,1,mixed breed medium,0,0,1,0,Medium,Medium,40,18.18,11/20/2020,10/30/2020,1,0,Long,Y,Y,Y,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,,NA,0,0,NA,0,NA,0,NA,1,1,0,0,0,0,0
174,H174,A46063238,Jackson,Jackson,Male,Male,0,0,1,3 yr,3,36,Adult,Adult,0,1,hound mix,0,0,0,1,Small,Small,22,10,11/9/2020,11/5/2020,0,1,short,N,Y,Y,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,NA,0,0,NA,0,NA,0,NA,1,1,0,0,0,0,0
177,H177,A46017613,Scioto,Scioto,Male,Male,0,0,1,3 yr,3,36,Adult,Adult,0,1,amer staffordshire terrier mix,0,1,0,0,Large,Large,64.5,29.32,11/2/2020,10/27/2020,0,1,short,N,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,NA,0,0,NA,0,NA,0,NA,1,1,0,0,0,0,0
181,H181,A45946378,Jackson,Jackson,Female,Female,0,1,0,3 yr,3,36,Adult,Adult,0,1,Retriever mix,0,0,1,0,Medium,Medium,35.5,16.14,10/22/2020,10/19/2020,0,1,short,N,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,NA,0,0,NA,0,NA,0,NA,2,1,1,0,0,0,0
182,H182,A45972061,Lawrence,Lawrence,Male,Male,0,0,1,3 yr,3,36,Adult,Adult,0,1,coonhound,1,1,0,0,Large,Large,56,25.45,10/26/2020,10/21/2020,0,1,short,N,Y,Y,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0
187,H187,A46032852,Jackson,Jackson,Male,Male,0,0,1,3 yr,3,36,Adult,Adult,0,1,shepherd/siberian husky mix,0,0,1,0,Medium,Medium,43,19.55,11/4/2020,10/30/2020,0,1,short,N,Y,Y,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,NA,0,0,NA,0,NA,0,NA,1,1,0,0,0,0,0
194,H194,A46017655,Scioto,Scioto,Male,Male,0,0,1,3 yr,3,36,Adult,Adult,0,1,mixed breed medium,0,0,1,0,Medium,Medium,34,15.45,11/2/2020,11/2/2020,0,1,short,Y,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0
380,H380,A46203762,Gallia,Gallia,Female,Female,0,1,0,3 yr,3,36,Adult,Adult,0,1,boxer mix,0,1,0,0,Large,Large,63,28.64,12/3/2020,12/3/2020,0,1,short,N,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0
385,H385,A46370423,Ross,Ross,Male,Male,0,0,1,3 yr,3,36,Adult,Adult,0,1,australian cattle dog,1,0,1,0,Medium,Medium,43,19.55,1/5/2021,1/4/2020,0,1,short,N,Y,Y,1,0,1,1,0,3,1,1,0,0,0,0,0,0,0,,,,,NA,0,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0
413,H413,A46409913,Lawrence ,Lawrence,Female,Female,0,1,0,3 yr,3,36,Adult,Adult,0,1,mixed breed ,0,0,1,0,Medium,Medium,43.5,19.77,1/12/2021,1/4/2021,0,1,short,Y,Y,Y,1,0,1,0,0,2,1,1,0,0,0,0,0,0,0,,0,0,0,NA,0,0,NA,0,NA,0,NA,1,1,0,0,0,0,0
419,H419,A46403318,Gallia,Gallia,Male,Male,0,0,1,3 yr,3,36,Adult,Adult,0,1,Lab retriever mix,0,1,0,0,Large,Large,64.5,29.32,1/11/2021,1/11/2021,0,1,short,N,Y,Y,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0
421,H421,A46364016,Gallia,Gallia,Female,Female,0,1,0,3 yr,3,36,Adult,Adult,0,1,mixed breed medium,0,0,1,0,Medium,Medium,26.5,12.05,1/4/2021,1/4/2021,0,1,short,N,Y,Y,1,0,1,0,0,2,1,1,0,0,0,0,0,0,0,,,0,0,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0
426,H426,A46409963,Lawrence,Lawrence,Male,Male,0,0,1,3 yr,3,36,Adult,Adult,0,1,mixed breed large,0,1,0,0,Large,Large,58,26.36,1/24/2021,1/4/2021,1,0,Long,N,Y,Y,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0
